From_Station	To_Station	Line_Name	Travel_Time_Min
Jasola-Apollo	Harkesh Nagar Okhla	V_KR_R	2
Harkesh Nagar Okhla	Govind Puri	V_KR_R	3
Govind Puri	Kalkaji Mandir	V_KR_R	2
Kalkaji Mandir	Nehru Place	V_KR_R	2
Nehru Place	Kailash Colony	V_KR_R	2
Kailash Colony	Moolchand	V_KR_R	2
Moolchand	Lajpat Nagar	V_KR_R	2
Lajpat Nagar	Jangpura	V_KR_R	3
Jangpura	Jawahar Lal Nehru Stadium	V_KR_R	2
Jawahar Lal Nehru Stadium	Khan Market	V_KR_R	3
Khan Market	Central Secretariat	V_KR_R	4
Central Secretariat	Janpath	V_KR_R	1
Janpath	Mandi House	V_KR_R	3
Mandi House	ITO	V_KR_R	2
ITO	Delhi Gate	V_KR_R	2
Delhi Gate	Jama Masjid	V_KR_R	2
Jama Masjid	Lal Quila	V_KR_R	2
Lal Quila	Kashmere Gate	V_KR_R	3
Shiv Vihar	Johri Enclave	P_MS_R	2
Johri Enclave	Gokulpuri	P_MS_R	2
Gokulpuri	Maujpur - Babarpur	P_MS_R	2
Maujpur - Babarpur	Jafrabad	P_MS_R	3
Jafrabad	Welcome	P_MS_R	3
Welcome	East Azad Nagar	P_MS_R	3
East Azad Nagar	Krishna Nagar	P_MS_R	2
Krishna Nagar	Karkarduma Court	P_MS_R	2
Karkarduma Court	Karkarduma	P_MS_R	3
Karkarduma	Anand Vihar	P_MS_R	2
Anand Vihar	IP Extension	P_MS_R	4
IP Extension	Mandawali - West Vinod Nagar	P_MS_R	3
Mandawali - West Vinod Nagar	East Vinod Nagar - Mayur Vihar-II	P_MS_R	2
East Vinod Nagar - Mayur Vihar-II	Trilokpuri Sanjay Lake	P_MS_R	2
Trilokpuri Sanjay Lake	Mayur Vihar Pocket 1	P_MS_R	2
Mayur Vihar Pocket 1	Mayur Vihar-I	P_MS_R	2
Mayur Vihar-I	Sarai Kale Khan - Nizamuddin	P_MS_R	5
Sarai Kale Khan - Nizamuddin	Ashram	P_MS_R	3
Ashram	Vinobapuri	P_MS_R	3
Vinobapuri	Lajpat Nagar	P_MS_R	3
Lajpat Nagar	South Extension	P_MS_R	3
South Extension	Dilli Haat - INA	P_MS_R	2
Dilli Haat - INA	Sarojini Nagar	P_MS_R	2
Sarojini Nagar	Bhikaji Cama Place	P_MS_R	2
Bhikaji Cama Place	Sir Vishweshwaraiah Moti Bagh	P_MS_R	3
Sir Vishweshwaraiah Moti Bagh	Durgabai Deshmukh South Campus	P_MS_R	2
Durgabai Deshmukh South Campus	Delhi Cantt.	P_MS_R	5
Delhi Cantt.	Naraina Vihar	P_MS_R	3
Naraina Vihar	Mayapuri	P_MS_R	3
Mayapuri	Rajouri Garden	P_MS_R	3
Rajouri Garden	ESI Basai Darapur	P_MS_R	2
ESI Basai Darapur	Punjabi Bagh West	P_MS_R	3
Punjabi Bagh West	Shakurpur	P_MS_R	4
Shakurpur	Netaji Subash Place	P_MS_R	2
Netaji Subash Place	Shalimar Bagh	P_MS_R	2
Shalimar Bagh	Azadpur	P_MS_R	3
Azadpur	Majlis Park	P_MS_R	4
Botanical Garden	Okhla Bird Sanctuary	M_JB_R	4
Okhla Bird Sanctuary	Kalindi Kunj	M_JB_R	3
Kalindi Kunj	Jasola Vihar Shaheen Bagh	M_JB_R	3
Jasola Vihar Shaheen Bagh	Okhla Vihar	M_JB_R	3
Okhla Vihar	Jamia Millia Islamia	M_JB_R	2
Jamia Millia Islamia	Sukhdev Vihar	M_JB_R	3
Sukhdev Vihar	Okhla NSIC	M_JB_R	2
Okhla NSIC	Kalkaji Mandir	M_JB_R	2
Kalkaji Mandir	Nehru Enclave	M_JB_R	2
Nehru Enclave	Greater Kailash	M_JB_R	2
Greater Kailash	Chirag Delhi	M_JB_R	2
Chirag Delhi	Panchsheel Park	M_JB_R	2
Panchsheel Park	Hauz Khas	M_JB_R	2
Hauz Khas	IIT	M_JB_R	2
IIT	RK Puram	M_JB_R	2
RK Puram	Munirka	M_JB_R	2
Munirka	Vasant Vihar	M_JB_R	3
Vasant Vihar	Shankar Vihar	M_JB_R	3
Shankar Vihar	Terminal 1- IGI Airport	M_JB_R	3
Terminal 1- IGI Airport	Sadar Bazar Contonment	M_JB_R	3
Sadar Bazar Contonment	Palam	M_JB_R	4
Palam	Dashrath Puri	M_JB_R	2
Dashrath Puri	Dabri Mor - Janakpuri South	M_JB_R	3
Dabri Mor - Janakpuri South	Janak Puri West	M_JB_R	3
Dhansa Bus Stand	Najafgarh	G_DD_R	2
Najafgarh	Nangli	G_DD_R	4
Nangli	Dwarka	G_DD_R	2
New Delhi	Shivaji Stadium	O_DN_R	3
Shivaji Stadium	Dhaula Kuan	O_DN_R	6
Dhaula Kuan	Delhi Aerocity	O_DN_R	7
Delhi Aerocity	IGI Airport	O_DN_R	6
IGI Airport	Dwarka Sector - 21	O_DN_R	4
Phase 3 (Rapid Metro)	Moulsari Avenue (Rapid Metro)	Red Line_R	3
Moulsari Avenue (Rapid Metro)	Cyber City (Rapid Metro)	Red Line_R	3
Cyber City (Rapid Metro)	Belvedere Towers (Rapid Metro)	Red Line_R	3
Belvedere Towers (Rapid Metro)	Phase 2 (Rapid Metro)	Red Line_R	3
Phase 2 (Rapid Metro)	Sikanderpur (Rapid Metro)	Red Line_R	6
Sikanderpur (Rapid Metro)	Sikanderpur	Red Line_R	2
Sikanderpur	Phase-I (Rapid Metro)	Red Line_R	2
Phase-I (Rapid Metro)	Sector 42-43 (Rapid Metro)	Red Line_R	3
Sector 42-43 (Rapid Metro)	Sector 53-54 (Rapid Metro)	Red Line_R	3
Sector 53-54 (Rapid Metro)	Sector 54 Chowk (Rapid Metro)	Red Line_R	3
Sector 54 Chowk (Rapid Metro)	Sector 55-56 (Rapid Metro)	Red Line_R	3
Noida Sec-52	Noida Sector 51	A_NN	5
Noida Sector 51	Noida Sec-52	A_NN	5
Noida Sector 51	Noida Sector 50	A_NN	2
Noida Sector 50	Noida Sector 76	A_NN	2
Noida Sector 76	Noida Sector 101	A_NN	2
Noida Sector 101	Noida Sector 81	A_NN	2
Noida Sector 81	NSEZ	A_NN	2
NSEZ	Noida Sector 83	A_NN	2
Noida Sector 83	Noida Sector 137	A_NN	2
Noida Sector 137	Noida Sector 142	A_NN	2
Noida Sector 142	Noida Sector 143	A_NN	2
Noida Sector 143	Noida Sector 144	A_NN	2
Noida Sector 144	Noida Sector 145	A_NN	2
Noida Sector 145	Noida Sector 146	A_NN	2
Noida Sector 146	Noida Sector 147	A_NN	2
Noida Sector 147	Noida Sector 148	A_NN	2
Noida Sector 148	Knowledge Park	A_NN	2
Knowledge Park	Pari Chowk	A_NN	2
Pari Chowk	Alpha 1	A_NN	2
Alpha 1	Delta 1	A_NN	2
Delta 1	GNIDA Office	A_NN	2
GNIDA Office	Depot Station	A_NN	2
